IMG 000: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 115: This is number 4 | confidence 77% | expected 4 | CORRECT
IMG 116: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 117: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 118: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 119: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 120: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 121: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 122: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 123: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 124: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 125: This is number 9 | confidence 80% | expected 9 | CORRECT
IMG 126: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 127: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 128: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 129: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 130: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 131: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 132: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 133: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 134: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 135: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 136: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 137: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 138: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 139: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 140: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 141: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 142: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 143: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 144: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 145: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 146: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 147: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 148: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 149: NOT A NUMBER | confidence 28% | expected 2 | TRASH
IMG 150: This is number 9 | confidence 85% | expected 9 | CORRECT
IMG 151: NOT A NUMBER | confidence 15% | expected 9 | TRASH
IMG 152: This is number 5 | confidence 91% | expected 5 | CORRECT
IMG 153: This is number 5 | confidence 91% | expected 5 | CORRECT
IMG 154: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 155: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 156: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 157: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 158: This is number 3 | confidence 90% | expected 3 | CORRECT
IMG 159: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 160: This is number 4 | confidence 89% | expected 4 | CORRECT
IMG 161: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 162: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 163: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 164: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 165: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 166: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 167: This is number 5 | confidence 85% | expected 5 | CORRECT
IMG 168: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 169: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 170: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 171: This is number 7 | confidence 90% | expected 7 | CORRECT
IMG 172: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 173: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 174: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 175: This is number 7 | confidence 83% | expected 7 | CORRECT
IMG 176: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 177: This is number 8 | confidence 89% | expected 8 | CORRECT
IMG 178: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 179: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 180: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 181: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 182: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 183: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 184: This is number 8 | confidence 80% | expected 8 | CORRECT
IMG 185: This is number 9 | confidence 77% | expected 9 | CORRECT
IMG 186: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 187: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 188: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 189: This is number 1 | confidence 92% | expected 1 | CORRECT
IMG 190: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 191: This is number 1 | confidence 91% | expected 1 | CORRECT
IMG 192: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 193: This is number 9 | confidence 87% | expected 9 | CORRECT
IMG 194: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 195: This is number 3 | confidence 90% | expected 3 | CORRECT
IMG 196: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 197: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 198: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 199: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 200: This is number 3 | confidence 89% | expected 3 | CORRECT
IMG 201: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 202: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 203: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 204: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 205: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 206: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 207: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 208: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 209: This is number 9 | confidence 85% | expected 9 | CORRECT
IMG 210: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 211: This is number 5 | confidence 91% | expected 5 | CORRECT
IMG 212: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 213: This is number 3 | confidence 90% | expected 3 | CORRECT
IMG 214: This is number 9 | confidence 87% | expected 9 | CORRECT
IMG 215: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 216: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 217: This is number 6 | confidence 84% | expected 6 | CORRECT
IMG 218: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 219: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 220: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 221: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 222: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 223: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 224: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 225: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 226: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 227: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 228: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 229: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 230: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 231: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 232: This is number 8 | confidence 91% | expected 8 | CORRECT
IMG 233: This is number 8 | confidence 90% | expected 8 | CORRECT
IMG 234: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 235: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 236: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 237: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 238: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 239: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 240: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 241: NOT A NUMBER | confidence 21% | expected 9 | TRASH
IMG 242: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 243: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 244: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 245: This is number 3 | confidence 90% | expected 3 | CORRECT
IMG 246: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 247: This is number 6 | confidence 77% | expected 4 | INCORRECT
IMG 248: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 249: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 250: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 251: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 252: This is number 9 | confidence 94% | expected 9 | CORRECT
IMG 253: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 254: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 255: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 256: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 257: This is number 8 | confidence 90% | expected 8 | CORRECT
IMG 258: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 259: This is number 0 | confidence 89% | expected 6 | INCORRECT
IMG 260: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 261: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 262: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 263: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 264: This is number 9 | confidence 59% | expected 9 | CORRECT
IMG 265: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 266: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 267: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 268: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 269: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 270: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 271: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 272: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 273: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 274: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 275: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 276: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 277: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 278: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 279: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 280: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 281: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 282: This is number 7 | confidence 87% | expected 7 | CORRECT
IMG 283: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 284: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 285: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 286: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 287: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 288: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 289: This is number 5 | confidence 88% | expected 5 | CORRECT
IMG 290: This is number 4 | confidence 83% | expected 8 | INCORRECT
IMG 291: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 292: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 293: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 294: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 295: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 296: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 297: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 298: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 299: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 300: This is number 4 | confidence 85% | expected 4 | CORRECT
IMG 301: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 302: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 303: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 304: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 305: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 306: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 307: This is number 7 | confidence 88% | expected 7 | CORRECT
IMG 308: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 309: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 310: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 311: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 312: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 313: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 314: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 315: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 316: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 317: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 318: NOT A NUMBER | confidence 23% | expected 2 | TRASH
IMG 319: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 320: This is number 7 | confidence 83% | expected 9 | INCORRECT
IMG 321: NOT A NUMBER | confidence 14% | expected 2 | TRASH
IMG 322: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 323: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 324: This is number 0 | confidence 85% | expected 0 | CORRECT
IMG 325: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 326: This is number 2 | confidence 90% | expected 2 | CORRECT
IMG 327: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 328: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 329: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 330: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 331: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 332: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 333: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 334: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 335: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 336: This is number 9 | confidence 85% | expected 9 | CORRECT
IMG 337: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 338: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 339: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 340: NOT A NUMBER | confidence 38% | expected 5 | TRASH
IMG 341: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 342: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 343: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 344: This is number 8 | confidence 85% | expected 8 | CORRECT
IMG 345: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 346: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 347: This is number 5 | confidence 90% | expected 5 | CORRECT
IMG 348: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 349: This is number 3 | confidence 85% | expected 3 | CORRECT
IMG 350: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 351: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 352: This is number 5 | confidence 89% | expected 5 | CORRECT
IMG 353: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 354: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 355: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 356: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 357: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 358: This is number 7 | confidence 80% | expected 7 | CORRECT
IMG 359: This is number 9 | confidence 81% | expected 9 | CORRECT
IMG 360: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 361: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 362: This is number 2 | confidence 83% | expected 2 | CORRECT
IMG 363: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 364: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 365: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 366: This is number 6 | confidence 89% | expected 6 | CORRECT
IMG 367: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 368: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 369: This is number 3 | confidence 89% | expected 3 | CORRECT
IMG 370: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 371: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 372: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 373: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 374: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 375: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 376: This is number 4 | confidence 90% | expected 4 | CORRECT
IMG 377: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 378: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 379: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 380: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 381: NOT A NUMBER | confidence 39% | expected 3 | TRASH
IMG 382: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 383: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 384: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 385: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 386: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 387: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 388: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 389: This is number 7 | confidence 80% | expected 9 | INCORRECT
IMG 390: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 391: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 392: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 393: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 394: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 395: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 396: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 397: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 398: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 399: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 400: This is number 2 | confidence 90% | expected 2 | CORRECT
IMG 401: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 402: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 403: This is number 8 | confidence 58% | expected 8 | CORRECT
IMG 404: This is number 2 | confidence 91% | expected 2 | CORRECT
IMG 405: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 406: This is number 5 | confidence 91% | expected 5 | CORRECT
IMG 407: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 408: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 409: This is number 1 | confidence 90% | expected 1 | CORRECT
IMG 410: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 411: This is number 7 | confidence 89% | expected 7 | CORRECT
IMG 412: NOT A NUMBER | confidence 21% | expected 5 | TRASH
IMG 413: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 414: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 415: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 416: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 417: This is number 9 | confidence 89% | expected 9 | CORRECT
IMG 418: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 419: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 420: This is number 4 | confidence 89% | expected 4 | CORRECT
IMG 421: This is number 2 | confidence 89% | expected 2 | CORRECT
IMG 422: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 423: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 424: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 425: This is number 4 | confidence 87% | expected 4 | CORRECT
IMG 426: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 427: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 428: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 429: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 430: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 431: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 432: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 433: This is number 5 | confidence 91% | expected 5 | CORRECT
IMG 434: This is number 9 | confidence 93% | expected 9 | CORRECT
